역명,일평균,가중치
잠실,207794,521
강남,204137,520
홍대입구,165046,519
고속터미널,160411,518
사당,145429,517
서울,144184,516
신림,138689,515
건대입구,128103,514
구로디지털단지,124371,513
종로3가,119830,512
삼성,119568,511
신도림,119412,510
서울대입구,105328,509
선릉,101232,508
교대,100543,507
을지로입구,98759,506
합정,98653,505
신촌,98408,504
시청,97417,503
역삼,96487,502
강변,92775,501
노원,91640,500
동대문역사문화공원,90493,499
혜화,85492,498
종각,85368,497
연신내,82984,496
양재,82757,495
천호,82461,494
동대문,81811,493
대림,81634,492
명동,81192,491
가산디지털단지,77725,490
수유,77102,489
광화문,72140,488
남부터미널,70897,487
압구정,69604,486
신사,66527,485
충무로,64597,484
을지로3가,63737,483
공덕,63544,482
쌍문,62481,481
회현,62126,480
창동,60199,479
낙성대,59354,478
미아사거리,58901,477
까치산,58775,476
화곡,57181,475
신대방,56469,474
성수,56281,473
회기,54000,472
청량리,53926,471
신천,53256,470
광명사거리,52917,469
안국,52463,468
종로5가,51614,467
불광,51446,466
경복궁,51267,465
영등포구청,50844,464
오목교,50727,463
군자,49263,462
신당,48886,461
성신여대입구,48534,460
철산,48432,459
노량진,48000,458
여의도,47479,457
영등포,47450,455
왕십리,47458,456
구의,46994,454
길음,46362,453
봉천,46190,452
총신대입구,46125,451
서초,45532,450
당산,45215,449
학동,43252,448
청담,41937,447
제기동,41415,446
이대,41137,445
동묘앞,40867,444
방배,40722,443
신설동,40523,442
상계,40348,441
구파발,40331,440
논현,39823,439
문래,39111,438
하계,39058,437
홍제,38560,436
이태원,37683,435
용산,37600,434
목동,37541,433
강동,37476,432
장한평,37116,431
수서,36608,430
가락시장,36346,429
장지,36166,428
응암,35940,427
약수,35726,426
뚝섬,35603,425
을지로4가,35269,424
암사,34936,423
서대문,34616,422
상봉,34326,421
발산,33983,420
이수,33771,419
문정,33714,418
미아,33572,417
종합운동장,33414,416
잠실나루,33343,415
숙대입구,32939,414
남구로,32862,413
한성대입구,32699,412
답십리,32633,411
신대방삼거리,32574,410
어린이대공원,32272,409
충정로,32150,408
면목,31974,407
사가정,31856,406
신용산,31773,405
우장산,31033,404
숭실대입구,30801,403
강남구청,30557,402
중계,30468,401
태릉입구,29933,400
상동,29796,399
아차산,29614,398
망원,29034,397
신중동,28791,396
내방,28657,395
디지털미디어시티,28474,394
마포,27963,393
상왕십리,27649,392
남한산성입구,27611,391
광나루,27546,390
수락산,27531,389
안암,27476,388
마포구청,26927,387
새절,26903,386
석계,26848,385
신정,26061,384
공릉,25882,383
당고개,25763,382
부천시청,25516,381
월곡,25361,380
대치,24637,379
동대입구,24540,378
녹번,24399,377
한양대,24197,376
삼각지,23969,375
여의나루,23829,374
마들,23423,373
상수,23396,372
신풍,23261,371
상일동,23161,370
화랑대,23015,369
남성,22858,368
중화,22741,367
상도,22519,366
장승배기,22038,365
단대오거리,21910,364
강동구청,21785,363
매봉,21698,362
부평구청,21323,361
먹골,21252,360
복정,21209,359
온수,21143,358
아현,21054,357
도봉산,20913,356
옥수,20890,355
증산,20647,354
오금,20503,353
이촌,20235,352
중곡,19922,351
둔촌동,19718,350
영등포시장,19575,349
신정네거리,19515,348
굽은다리,19287,347
고덕,19068,346
고려대,19000,345
대청,18902,344
봉화산,18881,343
굴포천,18820,342
일원,18763,341
석촌,18605,340
광흥창,18577,339
보라매,18437,338
송정,18343,337
뚝섬유원지,18337,336
대흥,18176,335
한강진,17814,334
춘의,17608,333
돌곶이,17226,332
천왕,17046,331
명일,16993,330
독립문,16929,329
금호,16897,328
행당,16078,327
청구,15741,326
길동,15737,325
김포공항,15400,324
경찰병원,15332,323
보문,14787,322
방이,14752,321
방화,14614,320
월드컵경기장,14594,319
몽촌토성,14550,318
애오개,14413,317
까치울,14367,316
양천구청,14191,315
구산,14178,314
효창공원앞,14123,313
녹사평,14083,312
마곡,14049,311
거여,13645,310
개롱,13602,309
반포,12862,308
신금호,12740,307
양평,12699,306
올림픽공원,12665,305
상월곡,12486,304
용마산,12439,303
잠원,12430,302
마장,12295,301
도곡,12111,300
개화산,11605,299
산성,11444,298
송파,10891,297
수진,10677,296
마천,10386,295
삼산체육관,10308,294
신흥,9769,293
부천종합운동장,9726,292
모란,8709,291
역촌,8596,290
무악재,8251,289
신길,7139,288
창신,6707,287
동작,6292,286
독바위,6088,285
용답,5810,284
학여울,5652,283
용두역,4905,282
버티고개,4769,281
남태령,4713,280
장암,3521,279
신답,3203,278
지축,2774,277
도림천,2471,276
가능,0,1
가재울,0,1
가정,0,1
가정중앙시장,0,1
가좌,0,1
가천대,0,1
가평,0,1
간석,0,1
간석오거리,0,1
갈매,0,1
갈산,0,1
강매,0,1
강촌,0,1
개봉,0,1
개포동,0,1
검단사거리,0,1
검단오류,0,1
검바위,0,1
검암,0,1
경기광주,0,1
경마공원,0,1
경인교대입구,0,1
계산,0,1
계양,0,1
고잔,0,1
곡산,0,1
곤지암,0,1
과천,0,1
관악,0,1
광명,0,1
광운대,0,1
구로,0,1
구룡,0,1
구리,0,1
구성,0,1
구일,0,1
국수,0,1
국제업무지구,0,1
군포,0,1
굴봉산,0,1
귤현,0,1
금곡,0,1
금릉,0,1
금정,0,1
금천구청,0,1
금촌,0,1
기흥,0,1
김유정,0,1
남동구청,0,1
남동인더스파크,0,1
남영,0,1
남춘천,0,1
노량진,0,1
녹양,0,1
녹천,0,1
능곡,0,1
달월,0,1
당정,0,1
대곡,0,1
대공원,0,1
대모산입구,0,1
대방,0,1
대성리,0,1
대야미,0,1
대화,0,1
덕계,0,1
덕소,0,1
덕정,0,1
도농,0,1
도봉,0,1
도심,0,1
도원,0,1
도화,0,1
독산,0,1
독정,0,1
동두천,0,1
동두천중앙,0,1
동막,0,1
동수,0,1
동암,0,1
동인천,0,1
동춘,0,1
두정,0,1
마두,0,1
마석,0,1
마전,0,1
만수,0,1
망우,0,1
망월사,0,1
망포,0,1
매교,0,1
매탄권선,0,1
명학,0,1
모래내시장,0,1
문산,0,1
문학경기장,0,1
미금,0,1
박촌,0,1
반월,0,1
방학,0,1
배방,0,1
백마,0,1
백석,0,1
백양리,0,1
백운,0,1
범계,0,1
별내,0,1
병점,0,1
보산,0,1
보정,0,1
봉명,0,1
부개,0,1
부발,0,1
부천,0,1
부평,0,1
부평삼거리,0,1
부평시장,0,1
사릉,0,1
산본,0,1
삼동,0,1
삼송,0,1
상갈,0,1
상록수,0,1
상천,0,1
서강대,0,1
서구청,0,1
서동탄,0,1
서부여성회관,0,1
서빙고,0,1
서울숲,0,1
서정리,0,1
서현,0,1
석남,0,1
석바위시장,0,1
석수,0,1
석천사거리,0,1
선바위,0,1
선정릉,0,1
선학,0,1
성균관대,0,1
성환,0,1
세류,0,1
세마,0,1
세종대왕릉,0,1
센트럴파크,0,1
소래포구,0,1
소사,0,1
소요산,0,1
송내,0,1
송도,0,1
송탄,0,1
수내,0,1
수리산,0,1
수색,0,1
수원,0,1
수원시청,0,1
숭의,0,1
시민공원,0,1
신갈,0,1
신길온천,0,1
신내,0,1
신둔도예촌,0,1
신연수,0,1
신원,0,1
신이문,0,1
신창(순천향대),0,1
신포,0,1
쌍용(나사렛대),0,1
아산,0,1
아시아드경기장,0,1
아신,0,1
안산,0,1
안양,0,1
압구정로데오,0,1
야당,0,1
야탑,0,1
양수,0,1
양원,0,1
양정,0,1
양주,0,1
여주,0,1
역곡,0,1
연수,0,1
영등포,0,1
영통,0,1
예술회관,0,1
오류동,0,1
오리,0,1
오빈,0,1
오산,0,1
오산대,0,1
오이도,0,1
온양온천,0,1
완정,0,1
왕길,0,1
외대앞,0,1
용문,0,1
용산,0,1
운길산,0,1
운연,0,1
운정,0,1
원당,0,1
원덕,0,1
원인재,0,1
원흥,0,1
월계,0,1
월곶,0,1
월롱,0,1
응봉,0,1
의왕,0,1
의정부,0,1
이매,0,1
이매(경강선),0,1
이천,0,1
인덕원,0,1
인천,0,1
인천(수인),0,1
인천가좌,0,1
인천논현,0,1
인천대공원,0,1
인천대입구,0,1
인천시청,0,1
인천터미널,0,1
인하대,0,1
일산,0,1
임학,0,1
작전,0,1
정발산,0,1
정부과천청사,0,1
정왕,0,1
정자,0,1
제물포,0,1
주안,0,1
주안국가산단,0,1
주엽,0,1
죽전,0,1
중동,0,1
중랑,0,1
중앙,0,1
지식정보단지,0,1
지제,0,1
지평,0,1
지행,0,1
직산,0,1
진위,0,1
천마산,0,1
천안,0,1
청명,0,1
청평,0,1
초월,0,1
초지,0,1
춘천,0,1
캠퍼스타운,0,1
탄현,0,1
태평,0,1
테크노파크,0,1
퇴계원,0,1
파주,0,1
판교(경강선),0,1
팔당,0,1
평내호평,0,1
평촌,0,1
평택,0,1
풍산,0,1
한남,0,1
한대앞,0,1
한티,0,1
행신,0,1
호구포,0,1
화서,0,1
화전,0,1
화정,0,1
회기,0,1
회룡,0,1
효창공원앞(경의선),0,1
